2025-09-16_13:42:32.561 INFO zenoh_topic_viewer Starting Zenoh DDS Web Monitor...
2025-09-16_13:42:32.561 INFO zenoh_topic_viewer Starting web server on http://localhost:8080
2025-09-16_13:42:32.561 INFO zenoh_topic_viewer Opening Zenoh session...
2025-09-16_13:42:32.561 INFO zenoh::net::runtime Using ZID: 77b2bf76b47715a9ac0f161f8aebbb5f
2025-09-16_13:42:32.562 INFO zenoh::net::runtime::orchestrator Zenoh can be reached at: tcp/[2001:630:d0:8e07:4e5d:4917:286d:563f]:36189
2025-09-16_13:42:32.562 INFO zenoh::net::runtime::orchestrator Zenoh can be reached at: tcp/[fe80::9026:9c50:5c9d:6245]:36189
2025-09-16_13:42:32.562 INFO zenoh::net::runtime::orchestrator Zenoh can be reached at: tcp/10.9.157.159:36189
2025-09-16_13:42:32.562 INFO zenoh::net::runtime::orchestrator zenohd listening scout messages on 224.0.0.224:7446
2025-09-16_13:42:33.063 WARN zenoh::net::runtime::orchestrator Scouting delay elapsed before start conditions are met.
2025-09-16_13:42:33.063 INFO zenoh_topic_viewer Zenoh session opened.
2025-09-16_13:42:33.063 INFO zenoh_topic_viewer Subscribing to all topics
2025-09-16_13:42:33.063 INFO zenoh_topic_viewer Zenoh subscriber started, waiting for messages...
2025-09-16_13:44:05.126 INFO zenoh_topic_viewer CTRL-C received. Shutting down gracefully...
2025-09-16_13:44:05.126 INFO zenoh_topic_viewer Zenoh DDS Web Monitor stopped.
2025-09-16_13:44:05.126 INFO zenoh::api::session close session zid=77b2bf76b47715a9ac0f161f8aebbb5f
2025-09-16_13:45:20.295 INFO zenoh_topic_viewer Starting Zenoh DDS Web Monitor...
2025-09-16_13:45:20.295 INFO zenoh_topic_viewer Opening Zenoh session...
2025-09-16_13:45:20.295 INFO zenoh_topic_viewer Starting web server on http://localhost:8080
2025-09-16_13:45:20.295 INFO zenoh::net::runtime Using ZID: 3c724c0345cfe606dfb4275ca3b5d930
2025-09-16_13:45:20.296 INFO zenoh::net::runtime::orchestrator Zenoh can be reached at: tcp/[2001:630:d0:8e07:4e5d:4917:286d:563f]:44209
2025-09-16_13:45:20.296 INFO zenoh::net::runtime::orchestrator Zenoh can be reached at: tcp/[fe80::9026:9c50:5c9d:6245]:44209
2025-09-16_13:45:20.296 INFO zenoh::net::runtime::orchestrator Zenoh can be reached at: tcp/10.9.157.159:44209
2025-09-16_13:45:20.296 INFO zenoh::net::runtime::orchestrator zenohd listening scout messages on 224.0.0.224:7446
2025-09-16_13:45:20.297 INFO zenoh_topic_viewer Zenoh session opened.
2025-09-16_13:45:20.297 INFO zenoh_topic_viewer Subscribing to all topics (**)
2025-09-16_13:45:20.297 INFO zenoh_topic_viewer Zenoh subscriber started, waiting for messages...
2025-09-16_13:45:37.360 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/movement_state' at 1758030337360
2025-09-16_13:45:37.497 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030337497
2025-09-16_13:45:37.498 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030337498
2025-09-16_13:45:37.498 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030337498
2025-09-16_13:45:37.498 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030337498
2025-09-16_13:45:37.502 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030337502
2025-09-16_13:45:37.502 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030337502
2025-09-16_13:45:37.579 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030337579
2025-09-16_13:45:37.579 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030337579
2025-09-16_13:45:37.579 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/heading' at 1758030337579
2025-09-16_13:45:37.738 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030337738
2025-09-16_13:45:37.739 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030337739
2025-09-16_13:45:37.739 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030337739
2025-09-16_13:45:37.739 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030337739
2025-09-16_13:45:37.743 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030337743
2025-09-16_13:45:37.744 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030337744
2025-09-16_13:45:37.780 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030337780
2025-09-16_13:45:37.780 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030337780
2025-09-16_13:45:37.780 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/heading' at 1758030337780
2025-09-16_13:45:37.859 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/movement_state' at 1758030337859
2025-09-16_13:45:37.999 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030337999
2025-09-16_13:45:38.000 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030338000
2025-09-16_13:45:38.000 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030338000
2025-09-16_13:45:38.000 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030338000
2025-09-16_13:45:38.003 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030338003
2025-09-16_13:45:38.004 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030338004
2025-09-16_13:45:38.182 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030338182
2025-09-16_13:45:38.182 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030338182
2025-09-16_13:45:38.182 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/heading' at 1758030338182
2025-09-16_13:45:38.197 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/status' at 1758030338197
2025-09-16_13:45:38.197 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/mode' at 1758030338197
2025-09-16_13:45:38.239 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030338238
2025-09-16_13:45:38.239 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030338239
2025-09-16_13:45:38.239 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030338239
2025-09-16_13:45:38.239 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030338239
2025-09-16_13:45:38.242 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030338242
2025-09-16_13:45:38.243 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030338243
2025-09-16_13:45:38.355 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/movement_state' at 1758030338355
2025-09-16_13:45:38.384 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030338384
2025-09-16_13:45:38.384 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030338384
2025-09-16_13:45:38.384 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/heading' at 1758030338384
2025-09-16_13:45:38.495 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030338495
2025-09-16_13:45:38.495 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030338495
2025-09-16_13:45:38.495 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030338495
2025-09-16_13:45:38.495 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030338495
2025-09-16_13:45:38.498 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030338498
2025-09-16_13:45:38.498 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030338498
2025-09-16_13:45:38.584 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030338584
2025-09-16_13:45:38.585 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030338585
2025-09-16_13:45:38.585 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/heading' at 1758030338585
2025-09-16_13:45:38.735 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030338734
2025-09-16_13:45:38.736 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030338736
2025-09-16_13:45:38.736 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030338736
2025-09-16_13:45:38.736 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030338736
2025-09-16_13:45:38.740 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030338740
2025-09-16_13:45:38.740 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030338740
2025-09-16_13:45:38.786 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030338786
2025-09-16_13:45:38.786 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030338786
2025-09-16_13:45:38.786 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/heading' at 1758030338786
2025-09-16_13:45:38.856 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/movement_state' at 1758030338856
2025-09-16_13:45:38.996 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030338996
2025-09-16_13:45:38.996 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030338996
2025-09-16_13:45:38.996 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030338996
2025-09-16_13:45:38.996 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030338996
2025-09-16_13:45:38.999 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030338999
2025-09-16_13:45:38.999 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030338999
2025-09-16_13:45:39.187 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030339187
2025-09-16_13:45:39.187 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030339187
2025-09-16_13:45:39.187 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/heading' at 1758030339187
2025-09-16_13:45:39.195 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/status' at 1758030339195
2025-09-16_13:45:39.195 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/mode' at 1758030339195
2025-09-16_13:45:39.236 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030339236
2025-09-16_13:45:39.237 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030339237
2025-09-16_13:45:39.237 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030339237
